Quiz,HW,Participation,Final,Letter grade,Midterm
19.92857143,19.25,5.0,84.2,A-,91.0
19.35714286,19.65,5.0,80.3,A-,93.75
19.64285714,19.6,5.0,85.5,A-,87.75
19.38571429,19.1,4.0,80.8,B+,87.5
17.72857143,19.2,5.0,88.2,B,69.75
14.74285714,19.55,5.0,87.8,B,80.0
18.9,18.9,4.0,80.5,B,80.25
17.92857143,19.5,5.0,73.5,B,84.75
14.25714286,17.7,5.0,88.0,B,79.3
18.11428571,19.45,5.0,67.5,B,85.75
17.57142857,19.65,4.0,65.2,B-,82.0
16.57142857,18.25,5.0,73.5,C+,71.55
16.4,18.4,5.0,62.7,C+,81.5
17.11428571,17.75,4.5,64.0,C+,74.25
15.58571429,18.15,5.0,55.0,C,77.25
16.02857143,17.6,4.0,59.0,C,69.75
15.41428571,17.75,4.0,68.5,C,56.05
16.0,17.1,4.0,56.0,C,52.75
5.571428571,18.15,4.0,38.1,D,47.55
0.0,3.9,4.0,15.0,F,20.0
2.885714286,3.1,4.0,0.0,F,17.5
0.357142857,0.0,0.0,0.0,F,0.0
19.111111111111114,19.0,5.0,93.5,A,91.5
17.944444444444443,17.900000000000002,5.0,92.0,A,96.0
18.61111111111111,18.75,5.0,91.5,A,93.5
19.11111111111111,19.125000000000004,5.0,90.5,A-,90.0
17.333333333333336,19.625,5.0,81.5,A-,98.0
16.999999999999996,18.875,5.0,90.0,A-,85.5
17.833333333333336,19.575,5.0,89.0,A-,84.0
18.111111111111114,18.475,4.5,92.5,B+,78.5
16.88888888888889,18.25,5.0,85.5,B+,88.0
19.111111111111114,19.05,5.0,82.0,B+,88.0
17.0,19.15,5.0,83.5,B+,86.5
17.88888888888889,19.2,4.5,88.5,B+,78.5
17.833333333333336,17.85,4.0,91.5,B+,81.0
17.77777777777778,19.525,5.0,82.0,B+,86.0
14.777777777777777,18.775,5.0,84.0,B+,86.5
18.55555555555556,19.575,5.0,85.0,B+,76.0
15.222222222222223,18.175,5.0,83.0,B,87.5
17.666666666666664,19.05,5.0,84.0,B,77.0
19.05555555555556,19.725,5.0,73.0,B,90.5
16.000000000000004,18.175,5.0,81.0,B,85.0
18.77777777777778,19.9,5.0,83.0,B,70.5
14.555555555555554,18.0,5.0,79.0,B,87.0
20.0,19.75,5.0,69.5,B,90.0
15.61111111111111,19.65,5.0,79.0,B,81.0
17.499999999999996,19.05,5.0,84.5,B,62.5
15.944444444444445,18.5,5.0,75.5,B,84.5
15.222222222222223,19.375,5.0,76.0,B,82.0
15.72222222222222,19.5,5.0,80.5,B,72.0
16.055555555555557,19.200000000000003,5.0,74.0,B,83.5
15.555555555555555,18.4,5.0,75.0,B-,82.5
17.055555555555554,18.55,5.0,78.0,B-,72.0
16.166666666666668,19.7,1.5,86.0,B-,83.5
16.833333333333332,18.675,5.0,79.5,B-,67.5
18.66666666666667,19.55,5.0,81.0,B-,57.99999999999999
19.111111111111114,19.9,5.0,63.5,B-,87.0
18.444444444444443,19.525,5.0,68.5,B-,81.0
18.666666666666668,18.425,5.0,73.0,B-,75.5
16.833333333333336,18.40000000000001,5.0,75.0,C+,69.5
16.555555555555557,19.05,5.0,75.0,C+,67.0
16.77777777777778,18.05,5.0,74.0,C+,71.5
17.22222222222222,17.825,5.0,78.0,C+,56.00000000000001
16.38888888888889,17.725,5.0,74.0,C+,65.5
17.277777777777775,16.950000000000003,4.5,75.0,C+,68.0
18.166666666666668,19.25,5.0,67.5,C+,66.0
18.66666666666667,18.925,5.0,67.0,C+,65.5
15.61111111111111,18.5,4.0,64.0,C+,79.5
19.22222222222222,19.525,5.0,62.5,C+,69.0
17.833333333333336,18.25,5.0,68.5,C,63.0
18.55555555555556,18.85,5.0,70.5,C,54.50000000000001
16.666666666666668,18.9,5.0,60.5,C,72.5
13.166666666666666,17.625,5.0,82.0,C,33.0
19.0,19.450000000000003,5.0,57.99999999999999,C,71.5
18.38888888888889,19.35,0.5,83.0,C,60.5
12.88888888888889,16.45,4.0,71.5,C,63.5
11.388888888888886,14.525000000000002,1.5,82.0,C,68.0
17.0,16.724999999999998,3.5,69.5,C,62.5
17.22222222222222,18.5,5.0,53.5,C,71.0
17.0,18.525,5.0,65.5,C,49.0
15.22222222222222,18.200000000000003,5.0,63.5,C,54.50000000000001
18.444444444444446,18.95,5.0,56.00000000000001,C,59.0
18.05555555555556,18.65,4.0,49.5,C,74.5
14.500000000000002,16.65,5.0,55.50000000000001,C,67.5
16.61111111111111,17.5,5.0,54.50000000000001,C,60.5
15.38888888888889,18.2,2.0,70.5,C,50.5
16.222222222222225,19.325000000000003,5.0,55.00000000000001,C,46.5
14.166666666666668,17.275,3.0,66.0,D,45.5
13.22222222222222,17.224999999999998,5.0,55.00000000000001,D,53.0
16.611111111111107,16.7,5.0,48.5,D,60.5
17.22222222222222,18.8,5.0,52.5,D,45.0
15.666666666666666,18.65,5.0,48.5,D,53.5
8.666666666666668,18.3,2.0,68.5,D,44.5
20.0,19.4,5.0,41.0,D,56.49999999999999
16.555555555555557,18.250000000000004,5.0,46.5,D,54.0
15.888888888888888,18.2,3.5,45.0,D,66.0
18.111111111111107,17.525,4.5,51.0,D,51.0
17.888888888888886,17.875,5.0,39.5,D,58.5
13.333333333333332,17.8,4.5,49.0,D,52.0
17.0,18.025,5.0,49.0,D,31.0
16.000000000000004,18.425,1.0,53.0,D,56.00000000000001
16.0,17.674999999999997,0.5,63.5,D,34.5
13.444444444444445,18.975,4.5,47.0,D,31.0
17.72222222222222,18.1,3.0,51.0,D,30.0
16.444444444444443,19.025,5.0,25.0,D,49.5
16.444444444444446,18.525,5.0,36.0,D,25.5
17.22222222222222,18.525,2.0,41.5,F,26.0
16.444444444444443,17.299999999999997,5.0,30.5,F,29.0
14.444444444444445,16.95,1.5,33.5,F,44.0
10.22222222222222,16.875,2.0,35.0,F,40.5
16.77777777777778,15.45,3.0,20.0,F,51.5
12.166666666666668,18.5,2.5,33.0,F,24.0
14.38888888888889,18.3,5.0,20.5,F,22.0
17.72222222222222,18.175,4.0,23.0,F,11.0
16.166666666666668,17.650000000000002,5.0,17.0,F,9.0
14.388888888888893,16.375,4.5,15.0,F,15.0
5.0,12.200000000000005,3.5,14.000000000000002,F,10.0
16.22222222222222,14.2,0.0,8.0,F,11.0
0.0,0.0,0.0,0.0,F,35.0
8.0,5.45,0.0,0.0,F,0.0
18.0,19.225,5.0,92.0,A,96.0
18.77777777777778,19.325000000000003,5.0,90.5,A,92.5
19.22222222222222,19.7,5.0,88.5,A-,93.0
16.5,18.9,5.0,93.0,A-,89.5
15.61111111111111,18.475,5.0,90.5,A-,94.5
19.666666666666664,19.200000000000003,5.0,88.5,A-,91.0
17.88888888888889,19.6,5.0,91.0,A-,86.5
17.72222222222222,19.225,5.0,92.5,A-,83.0
18.66666666666667,19.525,5.0,87.5,A-,90.5
18.05555555555556,18.7,5.0,92.0,A-,84.0
16.0,18.85,5.0,93.0,A-,82.5
19.111111111111114,18.65,5.0,87.0,B+,87.5
18.111111111111107,20.0,5.0,85.5,B+,86.0
18.55555555555556,19.475,5.0,80.5,B+,91.5
18.888888888888893,19.5,5.0,75.0,B+,98.0
19.111111111111114,18.15,5.0,87.5,B+,83.0
17.388888888888886,18.1,5.0,89.0,B+,77.5
18.277777777777786,18.35,5.0,82.5,B+,87.5
19.0,18.625000000000004,5.0,80.5,B,86.5
16.77777777777778,18.85,5.0,82.5,B,82.5
17.77777777777778,18.625,5.0,85.5,B,74.5
17.61111111111111,15.425,5.0,84.5,B,87.0
17.888888888888886,18.750000000000004,5.0,83.5,B,77.5
15.222222222222223,18.1,4.5,87.0,B,78.0
15.777777777777777,19.2,5.0,80.0,B,83.0
16.666666666666668,18.425,5.0,76.0,B,88.5
18.77777777777778,19.425,5.0,83.0,B,68.0
15.666666666666666,18.95,5.0,79.0,B,81.5
18.222222222222225,17.849999999999998,5.0,84.0,B,68.5
16.27777777777778,18.95,5.0,80.0,B,75.0
18.333333333333336,18.85,5.0,83.0,B-,63.0
17.166666666666664,18.125,5.0,71.5,B-,87.5
16.27777777777778,18.225,5.0,77.5,B-,79.0
18.44444444444445,19.050000000000004,5.0,62.5,B-,93.0
13.722222222222223,17.099999999999998,5.0,83.0,B-,70.0
18.166666666666668,18.725,5.0,75.5,B-,75.0
17.666666666666668,17.65,5.0,84.5,B-,55.50000000000001
17.5,19.025,4.0,72.5,B-,82.5
18.27777777777778,19.95,5.0,69.0,B-,77.5
17.944444444444443,17.25,5.0,78.0,B-,69.5
18.500000000000004,19.525,5.0,73.0,B-,71.5
17.833333333333336,19.25,5.0,76.5,C+,63.5
16.944444444444443,17.099999999999998,5.0,74.5,C+,75.5
15.77777777777778,18.075,5.0,67.5,C+,82.5
16.944444444444443,18.225,5.0,64.0,C+,84.0
15.22222222222222,18.25,3.0,72.5,C+,86.5
15.555555555555555,16.575000000000003,4.0,70.0,C+,85.5
17.5,17.85,5.0,65.0,C+,80.5
15.833333333333336,17.05,4.0,77.0,C+,73.0
13.944444444444445,16.825,5.0,79.5,C+,58.5
14.66666666666667,17.675,5.0,68.0,C+,77.5
16.05555555555555,18.05,5.0,71.5,C+,64.5
18.77777777777778,18.925,5.0,61.5,C+,74.5
19.22222222222222,18.625000000000004,5.0,65.5,C+,69.5
16.944444444444443,18.8,5.0,59.0,C+,79.5
17.111111111111114,18.9,5.0,71.0,C+,57.99999999999999
18.111111111111114,18.8,3.5,77.0,C+,56.00000000000001
15.944444444444445,16.95,5.0,71.5,C+,63.0
17.277777777777775,18.675000000000004,4.0,51.5,C,91.5
15.833333333333336,17.875,4.0,71.5,C,63.5
16.5,17.474999999999998,5.0,68.5,C,58.5
16.72222222222222,17.575000000000003,4.0,70.5,C,61.5
14.500000000000002,17.575,5.0,76.0,C,40.0
18.888888888888893,18.775,5.0,72.5,C,38.0
17.555555555555557,19.125,5.0,51.5,C,76.5
19.22222222222222,13.250000000000002,4.0,64.0,C,78.0
18.55555555555556,17.275000000000002,5.0,61.5,C,59.0
16.166666666666668,18.45,5.0,55.00000000000001,C,65.5
17.0,19.4,4.5,61.0,C,54.50000000000001
16.5,17.75,4.5,63.0,C,51.0
17.0,18.5,5.0,53.5,C,60.0
18.222222222222225,18.55,0.0,65.5,C,73.0
14.27777777777778,18.475,5.0,54.0,C,57.49999999999999
16.333333333333336,16.875,5.0,52.0,D,56.00000000000001
15.055555555555555,17.825000000000003,5.0,56.00000000000001,D,44.0
13.166666666666664,17.624999999999996,5.0,53.5,D,52.5
16.22222222222222,14.35,4.5,53.0,D,60.5
11.833333333333336,17.275,4.5,50.5,D,55.50000000000001
13.11111111111111,16.75,5.0,48.0,D,55.50000000000001
16.61111111111111,18.675,5.0,41.0,D,55.00000000000001
17.055555555555554,17.424999999999997,5.0,48.0,D,45.0
18.77777777777778,16.2,2.0,51.5,D,62.5
11.444444444444446,16.6,5.0,44.5,D,55.50000000000001
15.500000000000004,17.499999999999996,5.0,44.5,D,44.0
16.444444444444446,19.125,5.0,40.5,D,42.5
11.444444444444445,16.975,5.0,35.5,D,50.5
17.833333333333336,18.225,5.0,27.500000000000004,D,52.0
7.444444444444445,14.45,4.0,33.0,D,66.0
12.944444444444445,13.4,4.0,35.5,D,53.5
15.666666666666666,15.3,5.0,29.5,D,47.0
15.5,18.5,5.0,26.0,D,42.0
7.611111111111111,15.075,5.0,36.0,F,41.0
15.555555555555555,17.124999999999996,5.0,28.000000000000004,F,31.5
12.888888888888888,15.299999999999995,4.0,36.5,F,24.0
11.666666666666668,17.45,5.0,32.0,F,16.5
11.166666666666668,15.975,5.0,28.5,F,29.5
16.055555555555554,15.35,5.0,23.0,F,31.0
13.88888888888889,17.45,3.5,30.5,F,25.0
9.777777777777777,5.8,5.0,24.0,F,44.0
17.388888888888886,17.375,5.0,0.0,F,37.0
12.5,11.525,3.0,17.0,F,36.0
16.944444444444443,18.0,5.0,7.000000000000001,F,13.5
4.777777777777778,11.65,0.0,0.0,F,41.0
10.11111111111111,12.1,1.0,9.0,F,12.0
4.388888888888889,6.775,0.0,0.0,F,21.0
20.0,19.944444444444443,4.0,93.0,A,92.5
19.27777777777778,19.5,5.0,88.5,A,94.75
18.38888888888889,19.166666666666668,5.0,87.0,A-,89.5
17.555555555555557,18.722222222222225,5.0,82.5,B+,90.25
15.555555555555555,18.11111111111111,5.0,80.0,B,88.5
15.499999999999998,18.666666666666668,5.0,81.5,B,85.5
13.055555555555555,19.05555555555556,5.0,78.5,B-,80.5
19.38888888888889,19.55555555555556,5.0,61.5,C,52.25
15.666666666666668,16.333333333333332,5.0,43.0,C,74.0
14.833333333333334,18.22222222222222,5.0,47.5,C,66.25
16.166666666666668,18.666666666666668,5.0,60.0,D,44.0
17.77777777777778,19.166666666666668,0.0,67.0,D,44.0
11.333333333333336,15.333333333333332,5.0,65.0,D,45.75
10.22222222222222,13.52777777777778,0.0,56.00000000000001,D,55.75
9.27777777777778,17.416666666666664,5.0,40.0,F,36.0
14.38888888888889,18.61111111111111,5.0,12.5,F,46.5
14.833333333333334,8.777777777777779,2.0,28.000000000000004,F,53.0
6.9444444444444455,10.111111111111112,0.0,0.0,F,57.0
7.777777777777778,14.36111111111111,4.0,9.5,F,27.75
3.2222222222222223,3.944444444444444,0.0,0.0,F,51.75
0.0,0.0,5.0,0.0,F,0.0
13.38888888888889,16.47222222222222,5.0,70.0,C+,82.75
19.5,19.88888888888889,4.5,91.0,A,98.5
19.0,19.444444444444443,5.0,85.5,A-,95.75
18.722222222222225,20.0,5.0,86.0,A-,94.25
18.944444444444446,19.333333333333336,3.5,93.0,A-,94.75
19.666666666666664,19.88888888888889,5.0,79.5,A-,93.0
18.888888888888893,19.666666666666664,5.0,77.0,B,87.25
20.0,19.77777777777778,5.0,69.0,B,93.0
16.944444444444443,17.22222222222222,5.0,78.5,B,91.0
19.666666666666664,19.88888888888889,3.5,76.0,B,94.25
19.666666666666664,19.88888888888889,5.0,76.5,B,84.25
19.444444444444443,19.88888888888889,5.0,74.5,B,83.5
19.333333333333336,19.77777777777778,4.5,73.5,B,86.0
15.166666666666666,19.666666666666664,5.0,74.5,B,88.25
17.166666666666664,19.666666666666664,5.0,75.5,B,83.0
15.222222222222223,17.444444444444443,5.0,74.0,B,88.25
18.0,20.0,5.0,68.0,B-,86.25
17.222222222222225,19.77777777777778,5.0,77.5,B-,74.25
18.166666666666664,19.444444444444443,5.0,61.0,B-,88.25
19.22222222222222,19.77777777777778,5.0,58.5,B-,87.75
18.11111111111111,19.444444444444443,5.0,65.0,B-,81.75
18.444444444444443,19.444444444444443,5.0,52.5,C+,91.5
19.72222222222222,20.0,5.0,68.0,C+,73.0
12.944444444444445,17.77777777777778,4.0,66.0,C+,92.5
18.22222222222222,19.77777777777778,3.0,63.0,C,79.5
19.55555555555556,19.333333333333336,5.0,53.5,C,75.75
16.88888888888889,20.0,5.0,47.0,C,70.25
17.444444444444443,19.11111111111111,4.5,36.5,D,69.25
18.61111111111111,19.333333333333336,5.0,40.0,D,54.25
17.444444444444443,19.22222222222222,5.0,32.5,D,45.75
17.555555555555554,19.11111111111111,5.0,15.0,D,54.0
15.388888888888888,19.444444444444443,5.0,14.5,F,45.5
15.666666666666666,17.88888888888889,4.0,0.0,F,40.75
7.777777777777778,4.111111111111112,0.0,0.0,F,3.0
17.388888888888886,19.77777777777778,0.0,71.0,C,70.5
3.555555555555556,7.666666666666667,0.0,0.0,F,26.5
1.5555555555555556,2.2222222222222223,0.0,0.0,F,0.0
19.000000000000004,19.8,5.0,90.0,A,95.0
18.500000000000004,19.35,5.0,84.5,A-,93.5
18.3,18.65,5.0,84.5,A-,92.0
19.1,19.5,5.0,91.5,A-,82.0
19.1,19.000000000000004,5.0,78.5,B+,95.0
19.7,19.8,5.0,92.0,B+,79.0
19.9,18.85,5.0,88.0,B+,82.0
19.1,19.45,5.0,81.5,B,82.0
17.700000000000003,19.1,5.0,80.5,B,84.0
18.6,19.8,5.0,80.5,B-,72.5
18.000000000000004,19.45,5.0,72.0,C+,71.5
17.099999999999998,17.65,5.0,83.0,C+,62.5
18.4,19.200000000000003,5.0,70.0,C+,67.5
17.900000000000002,18.85,5.0,62.25000000000001,C+,75.0
17.2,16.200000000000003,5.0,73.5,C+,67.5
17.9,16.45,5.0,70.5,C,65.0
17.1,15.3,4.5,65.25,C,74.5
16.150000000000002,19.000000000000004,5.0,66.0,C,59.0
15.6,18.450000000000003,3.0,72.0,C,63.0
17.9,18.05,5.0,71.5,C,45.0
18.200000000000003,18.700000000000003,5.0,64.5,C,50.5
12.6,19.15,0.5,79.5,D,56.49999999999999
9.3,19.6,5.0,79.0,D,35.0
14.850000000000003,18.200000000000003,5.0,46.0,D,52.0
19.000000000000004,19.7,5.0,35.0,D,51.0
14.6,17.6,3.5,51.0,D,52.0
17.4,18.750000000000004,5.0,43.0,D,42.5
18.0,19.35,5.0,37.0,D,45.0
17.4,17.849999999999998,1.5,51.0,D,50.0
18.1,19.15,5.0,7.000000000000001,D,62.0
14.3,15.55,3.5,39.5,D,48.0
8.35,18.5,5.0,57.99999999999999,D,20.0
15.299999999999995,17.5,2.5,37.5,F,42.0
6.799999999999999,17.900000000000002,5.0,39.5,F,34.0
16.8,18.05,2.0,52.0,F,9.5
6.550000000000001,16.7,3.0,44.5,F,20.5
7.199999999999999,0.0,0.0,0.0,F,0.0
