Quiz,HW,Participation,Final,Letter grade,Midterm
19.5,19.8,4.0,96.5,A,95.5
18.5,19.5,5.0,96.5,A,92.0
18.875,19.575,5.0,95.5,A,92.0
19.125,19.15,5.0,93.0,A,96.5
17.875,18.925,5.0,96.0,A,92.5
18.875,19.5,5.0,96.5,A,86.5
19.0,19.75,5.0,97.5,A,82.0
18.25,18.825,5.0,91.5,A,97.5
18.0625,19.2,5.0,95.5,A,90.0
17.1875,18.55,5.0,96.0,A,91.5
18.605,18.725,5.0,94.0,A,91.0
18.33375,19.475,4.0,96.5,A,89.0
19.125,19.65,5.0,89.5,A,92.0
17.5625,18.65,4.0,95.5,A,94.0
19.3125,19.1,5.0,92.0,A,86.5
18.75,18.8,5.0,89.5,A,94.5
18.9375,19.3,4.0,95.0,A,87.0
18.25,19.25,4.0,95.0,A,90.0
18.51125,19.025,5.0,91.0,A-,91.5
18.22875,18.45,5.0,91.5,A-,93.0
17.625,18.8,4.0,93.5,A-,93.5
19.5625,18.325,5.0,86.5,A-,95.5
18.1875,18.45,5.0,96.5,A-,83.5
17.71875,19.3,5.0,91.0,A-,90.5
18.53125,19.0,4.0,93.0,A-,90.0
17.6875,17.65,5.0,93.5,A-,90.5
18.25,18.4,5.0,92.0,A-,88.0
17.0,18.75,4.0,94.0,A-,90.5
17.65625,18.7,4.0,93.0,A-,90.5
18.8125,17.825,5.0,92.5,A-,85.5
18.5,17.8,5.0,88.0,A-,94.0
19.09375,19.5,4.0,91.0,A-,84.5
19.03125,18.35,5.0,92.0,A-,82.0
17.1675,17.975,4.0,90.5,A-,96.0
18.5625,18.475,5.0,91.5,A-,83.5
18.0,19.65,4.0,89.5,A-,89.5
17.5625,19.05,5.0,95.0,A-,78.0
18.4375,18.35,5.0,88.0,A-,88.0
18.23,19.075,5.0,88.5,A-,85.0
17.875,18.3,5.0,93.5,A-,80.5
17.5,18.875,5.0,90.0,A-,86.0
17.84375,19.15,5.0,88.0,A-,87.0
18.5,18.675,5.0,87.5,A-,86.0
18.5,16.4,5.0,85.5,A-,96.0
16.25,18.825,5.0,93.5,B+,81.0
17.5625,19.1,4.0,88.5,B+,89.5
18.1875,18.25,5.0,91.0,B+,80.5
16.0,18.65,5.0,90.5,B+,85.5
18.125,17.625,5.0,91.5,B+,80.5
17.75,18.825,5.0,89.0,B+,81.5
17.375,18.25,5.0,89.5,B+,84.0
17.5,19.35,5.0,85.5,B+,85.5
17.375,18.45,5.0,94.5,B+,73.5
14.375,17.35,4.0,90.5,B+,94.5
14.83375,18.35,5.0,89.5,B+,84.0
18.4375,18.875,5.0,83.5,B+,77.0
16.6875,18.5,5.0,89.5,B,75.5
17.9175,17.65,5.0,75.0,B,91.0
18.125,17.7,5.0,76.5,B,87.0
17.8125,17.85,5.0,78.0,B,85.5
17.1875,14.95,5.0,83.5,B,86.0
16.4375,15.925,5.0,90.5,B-,63.5
17.4075,15.85,4.0,89.0,B-,68.0
16.0,17.25,4.0,81.0,B-,80.5
14.97875,17.575,4.0,84.5,B-,75.5
16.3125,15.725,5.0,85.5,B-,71.0
16.125,18.725,5.0,70.0,B-,78.5
15.25,17.575,4.0,78.5,C+,76.0
15.5625,18.975,5.0,78.0,C+,64.0
11.68875,16.525,4.0,79.0,C+,84.5
15.125,17.5,4.0,73.5,C+,81.5
14.625,17.9,5.0,73.5,C+,75.5
14.54125,17.7,5.0,70.0,C+,78.0
14.3125,10.775,4.0,86.0,C+,77.0
15.5625,16.625,4.0,78.0,C+,68.0
16.0625,18.525,5.0,67.0,C+,68.0
16.1675,18.85,5.0,63.0,C+,72.0
15.08375,17.2,5.0,66.5,C+,74.5
15.41625,15.175,5.0,80.5,C+,57.0
7.34375,18.225,3.0,77.5,C,73.5
15.5625,18.4,5.0,59.5,C,67.0
14.45875,18.3,5.0,61.0,C,66.0
12.56375,14.625,4.0,71.0,C,71.0
11.77125,17.25,5.0,71.0,C,50.5
14.14625,17.725,5.0,67.0,C,40.0
16.25,16.525,5.0,42.0,C,74.5
15.9375,16.275,5.0,48.0,C,62.0
13.605,14.375,5.0,43.0,C,80.5
13.43875,18.35,5.0,48.5,D,46.5
12.6775,17.675,5.0,52.5,D,43.5
12.4375,14.05,4.0,50.0,D,70.5
